id,book,chapter,verse,b,c,v,month,month_name,day,words,month_source,note,text
1,"בראשית","ז","יא",0,7,11,2,"אייר",17,"1-12",explicit,"מחלוקת: יש הסוברים שחודשי המבול נמנים מתשרי","<b>בִּשְׁנַ֨ת שֵׁשׁ־מֵא֤וֹת שָׁנָה֙ לְחַיֵּי־נֹ֔חַ בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י בְּשִׁבְעָֽה־עָשָׂ֥ר י֖וֹם לַחֹ֑דֶשׁ</b> בַּיּ֣וֹם הַזֶּ֗ה נִבְקְעוּ֙ כָּֽל־מַעְיְנֹת֙ תְּה֣וֹם רַבָּ֔ה וַֽאֲרֻבֹּ֥ת הַשָּׁמַ֖יִם נִפְתָּֽחוּ"
2,"בראשית","ח","ד",0,8,4,7,"תשרי",17,"3-8",explicit,"מחלוקת: יש הסוברים שחודשי המבול נמנים מתשרי","וַתָּ֤נַח הַתֵּבָה֙ <b>בַּחֹ֣דֶשׁ הַשְּׁבִיעִ֔י בְּשִׁבְעָֽה־עָשָׂ֥ר י֖וֹם לַחֹ֑דֶשׁ</b> עַ֖ל הָרֵ֥י אֲרָרָֽט"
3,"בראשית","ח","ה",0,8,5,10,"טבת",1,"8-10",explicit,"מחלוקת: יש הסוברים שחודשי המבול נמנים מתשרי","וְהַמַּ֗יִם הָיוּ֙ הָל֣וֹךְ וְחָס֔וֹר עַ֖ד הַחֹ֣דֶשׁ הָֽעֲשִׂירִ֑י <b>בָּֽעֲשִׂירִי֙ בְּאֶחָ֣ד לַחֹ֔דֶשׁ</b> נִרְא֖וּ רָאשֵׁ֥י הֶֽהָרִֽים"
4,"בראשית","ח","יג",0,8,13,1,"ניסן",1,"2-8",explicit,"מחלוקת: יש הסוברים שחודשי המבול נמנים מתשרי","וַ֠יְהִ֠י <b>בְּאַחַ֨ת וְשֵׁשׁ־מֵא֜וֹת שָׁנָ֗ה בָּֽרִאשׁוֹן֙ בְּאֶחָ֣ד לַחֹ֔דֶשׁ</b> חָֽרְב֥וּ הַמַּ֖יִם מֵעַ֣ל הָאָ֑רֶץ וַיָּ֤סַר נֹ֨חַ֙ אֶת־מִכְסֵ֣ה הַתֵּבָ֔ה וַיַּ֕רְא וְהִנֵּ֥ה חָֽרְב֖וּ פְּנֵ֥י הָֽאֲדָמָֽה"
5,"בראשית","ח","יד",0,8,14,2,"אייר",27,"1-6",explicit,"מחלוקת: יש הסוברים שחודשי המבול נמנים מתשרי","<b>וּבַחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י בְּשִׁבְעָ֧ה וְעֶשְׂרִ֛ים י֖וֹם לַחֹ֑דֶשׁ</b> יָֽבְשָׁ֖ה הָאָֽרֶץ"
6,"שמות","יב","ג",1,12,3,1,"ניסן",10,"7-9",context,"החודש נלמד מההקשר","דַּבְּר֗וּ אֶֽל־כָּל־עֲדַ֤ת יִשְׂרָאֵל֙ לֵאמֹ֔ר <b>בֶּֽעָשֹׂ֖ר לַחֹ֣דֶשׁ הַזֶּ֑ה</b> וְיִקְח֣וּ לָהֶ֗ם אִ֛ישׁ שֶׂ֥ה לְבֵית־אָבֹ֖ת שֶׂ֥ה לַבָּֽיִת"
7,"שמות","יב","ו",1,12,6,1,"ניסן",14,"5-9",context,"החודש נלמד מההקשר","וְהָיָ֤ה לָכֶם֙ לְמִשְׁמֶ֔רֶת עַ֣ד <b>אַרְבָּעָ֥ה עָשָׂ֛ר י֖וֹם לַחֹ֣דֶשׁ הַזֶּ֑ה</b> וְשָֽׁחֲט֣וּ אֹת֗וֹ כֹּ֛ל קְהַ֥ל עֲדַֽת־יִשְׂרָאֵ֖ל בֵּ֥ין הָֽעַרְבָּֽיִם"
8,"שמות","יב","יח",1,12,18,1,"ניסן",14,"1-5",explicit,"","<b>בָּֽרִאשֹׁ֡ן בְּאַרְבָּעָה֩ עָשָׂ֨ר י֤וֹם לַחֹ֨דֶשׁ֙</b> בָּעֶ֔רֶב תֹּֽאכְל֖וּ מַצֹּ֑ת עַ֠ד י֣וֹם הָֽאֶחָ֧ד וְעֶשְׂרִ֛ים לַחֹ֖דֶשׁ בָּעָֽרֶב"
9,"שמות","יב","יח",1,12,18,1,"ניסן",21,"10-13",explicit,"","בָּֽרִאשֹׁ֡ן בְּאַרְבָּעָה֩ עָשָׂ֨ר י֤וֹם לַחֹ֨דֶשׁ֙ בָּעֶ֔רֶב תֹּֽאכְל֖וּ מַצֹּ֑ת עַ֠ד <b>י֣וֹם הָֽאֶחָ֧ד וְעֶשְׂרִ֛ים לַחֹ֖דֶשׁ</b> בָּעָֽרֶב"
10,"שמות","טז","א",1,16,1,2,"אייר",15,"16-23",explicit,"","וַיִּסְעוּ֙ מֵֽאֵילִ֔ם וַיָּבֹ֜אוּ כָּל־עֲדַ֤ת בְּנֵֽי־יִשְׂרָאֵל֙ אֶל־מִדְבַּר־סִ֔ין אֲשֶׁ֥ר בֵּין־אֵילִ֖ם וּבֵ֣ין סִינָ֑י <b>בַּֽחֲמִשָּׁ֨ה עָשָׂ֥ר יוֹם֙ לַחֹ֣דֶשׁ הַשֵּׁנִ֔י לְצֵאתָ֖ם מֵאֶ֥רֶץ מִצְרָֽיִם</b>"
11,"שמות","מ","ב",1,40,2,1,"ניסן",1,"1-5",explicit,"","<b>בְּיוֹם־הַחֹ֥דֶשׁ הָֽרִאשׁ֖וֹן בְּאֶחָ֣ד לַחֹ֑דֶשׁ</b> תָּקִ֕ים אֶת־מִשְׁכַּ֖ן אֹ֥הֶל מוֹעֵֽד"
12,"שמות","מ","יז",1,40,17,1,"ניסן",1,"2-7",explicit,"","וַיְהִ֞י <b>בַּחֹ֧דֶשׁ הָֽרִאשׁ֛וֹן בַּשָּׁנָ֥ה הַשֵּׁנִ֖ית בְּאֶחָ֣ד לַחֹ֑דֶשׁ</b> הוּקַ֖ם הַמִּשְׁכָּֽן"
13,"ויקרא","טז","כט",2,16,29,7,"תשרי",10,"5-8",explicit,"","וְהָֽיְתָ֥ה לָכֶ֖ם לְחֻקַּ֣ת עוֹלָ֑ם <b>בַּחֹ֣דֶשׁ הַ֠שְּׁבִיעִ֠י בֶּֽעָשׂ֨וֹר לַחֹ֜דֶשׁ</b> תְּעַנּ֣וּ אֶת־נַפְשֹֽׁתֵיכֶ֗ם וְכָל־מְלָאכָה֙ לֹ֣א תַֽעֲשׂ֔וּ הָֽאֶזְרָ֔ח וְהַגֵּ֖ר הַגָּ֥ר בְּתֽוֹכְכֶֽם"
14,"ויקרא","כג","ה",2,23,5,1,"ניסן",14,"1-5",explicit,"","<b>בַּחֹ֣דֶשׁ הָֽרִאשׁ֗וֹן בְּאַרְבָּעָ֥ה עָשָׂ֛ר לַחֹ֖דֶשׁ</b> בֵּ֣ין הָֽעַרְבָּ֑יִם פֶּ֖סַח לַֽיהֹוָֽה"
15,"ויקרא","כג","ו",2,23,6,1,"ניסן",15,"1-5",context,"החודש נלמד מההקשר","<b>וּבַֽחֲמִשָּׁ֨ה עָשָׂ֥ר יוֹם֙ לַחֹ֣דֶשׁ הַזֶּ֔ה</b> חַ֥ג הַמַּצּ֖וֹת לַֽיהֹוָ֑ה שִׁבְעַ֥ת יָמִ֖ים מַצּ֥וֹת תֹּאכֵֽלוּ"
16,"ויקרא","כג","כד",2,23,24,7,"תשרי",1,"6-9",explicit,"","דַּבֵּ֛ר אֶל־בְּנֵ֥י יִשְׂרָאֵ֖ל לֵאמֹ֑ר <b>בַּחֹ֨דֶשׁ הַשְּׁבִיעִ֜י בְּאֶחָ֣ד לַחֹ֗דֶשׁ</b> יִֽהְיֶ֤ה לָכֶם֙ שַׁבָּת֔וֹן זִכְר֥וֹן תְּרוּעָ֖ה מִקְרָא־קֹֽדֶשׁ"
17,"ויקרא","כג","כז",2,23,27,7,"תשרי",10,"2-5",explicit,"","אַ֡ךְ <b>בֶּֽעָשׂ֣וֹר לַחֹ֩דֶשׁ֩ הַשְּׁבִיעִ֨י הַזֶּ֜ה</b> י֧וֹם הַכִּפֻּרִ֣ים ה֗וּא מִֽקְרָא־קֹ֨דֶשׁ֙ יִֽהְיֶ֣ה לָכֶ֔ם וְעִנִּיתֶ֖ם אֶת־נַפְשֹֽׁתֵיכֶ֑ם וְהִקְרַבְתֶּ֥ם אִשֶּׁ֖ה לַֽיהֹוָֽה"
18,"ויקרא","כג","לב",2,23,32,7,"תשרי",9,"8-9",context,"החודש נלמד מההקשר","שַׁבַּ֨ת שַׁבָּת֥וֹן הוּא֙ לָכֶ֔ם וְעִנִּיתֶ֖ם אֶת־נַפְשֹֽׁתֵיכֶ֑ם <b>בְּתִשְׁעָ֤ה לַחֹ֨דֶשׁ֙</b> בָּעֶ֔רֶב מֵעֶ֣רֶב עַד־עֶ֔רֶב תִּשְׁבְּת֖וּ שַׁבַּתְּכֶֽם"
19,"ויקרא","כג","לד",2,23,34,7,"תשרי",15,"6-11",explicit,"","דַּבֵּ֛ר אֶל־בְּנֵ֥י יִשְׂרָאֵ֖ל לֵאמֹ֑ר <b>בַּֽחֲמִשָּׁ֨ה עָשָׂ֜ר י֗וֹם לַחֹ֤דֶשׁ הַשְּׁבִיעִי֙ הַזֶּ֔ה</b> חַ֧ג הַסֻּכּ֛וֹת שִׁבְעַ֥ת יָמִ֖ים לַֽיהֹוָֽה"
